学生姓名,生源地,毕业去向,就业单位名称/征兵办名称/项目名称/创业单位名称/升学院校名称/境外单位名称,单位/征兵办/项目/院校所属地区,单位/征兵办/项目/院校所属地区.1,岗位名称/专业名称/工作内容,职业类型,薪酬,签约时间/入伍时间/创业时间/就业时间/入学、入职时间,专业与就业相关度,院系,专业名称,学历
,广东省揭阳市,其他录用形式就业,揭阳市揭东区乐智寄餐中心,广东省揭阳市揭东区,广东省揭阳市揭东区,语文教师,教学人员,3200.0,2021-03-25,匹配,基础教育学院,语文教育,专科
,广东省广州市,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,音乐学,其他人员,,2021-09-04,,艺术教育学院,音乐教育,专科
,广东省河源市连平县,境内升学,韩山师范学院,广东省潮州市,广东省潮州市,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省广州市越秀区,待就业,,,,,,,,,基础教育学院,英语教育-5年制,专科
,广东省湛江市雷州市,签劳动合同形式就业,茂名市茂南区金碧艾乐幼儿园,广东省茂名市茂南区,广东省茂名市茂南区,副班,教学人员,2800.0,2021-08-23,很匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市南海区,签就业协议形式就业,向日葵辉腾体育发展（佛山）有限公司,广东省佛山市南海区,广东省佛山市南海区,体能教练,教学人员,3200.0,2021-03-01,很匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市英德市,境内升学,广州华立学院,广东省广州市增城区,广东省广州市增城区,学前教育,其他人员,,2022-08-31,匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市,其他录用形式就业,佛山市南海区水域饮水配送服务部,广东省佛山市禅城区,广东省佛山市禅城区,杂务,商业和服务业人员,2500.0,2021-08-19,不匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,广东省清远市英德市,签就业协议形式就业,东莞市麻涌爱宝乐幼儿园,广东省东莞市,广东省东莞市,教师,教学人员,3000.0,2021-03-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省梅州市蕉岭县,境内升学,肇庆学院,广东省肇庆市端州区,广东省肇庆市端州区,学前教育专业,其他人员,,2021-08-28,,学前教育学院,学前教育-5年制,专科
,广东省河源市连平县,签就业协议形式就业,翁源县城东幼儿园,广东省韶关市翁源县,广东省韶关市翁源县,副班,教学人员,2200.0,2021-03-08,匹配,学前教育学院,学前教育-2年制,专科
,广东省潮州市饶平县,其他录用形式就业,广东广利混凝土有限公司,广东省广州市黄埔区,广东省广州市黄埔区,办事人员,办事人员和有关人员,4500.0,2021-03-15,不匹配,艺术设计学院,艺术设计-2年制,专科
,广东省广州市海珠区,待就业,,,,,,,,,学前教育学院,学前教育-2年制,专科
,广东省揭阳市普宁市,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,学前教育,其他人员,,2023-08-29,很匹配,学前教育学院,学前教育-2年制,专科
,广东省揭阳市揭西县,其他录用形式就业,广州美童罗马教育信息咨询有限公司,广东省广州市海珠区,广东省广州市海珠区,英语教师,教学人员,4000.0,2021-03-02,比较匹配,基础教育学院,英语教育-5年制,专科
,河南省商丘市夏邑县,签就业协议形式就业,洛阳市瀍河区祥宾富祥百货商行,河南省洛阳市瀍河回族区,河南省洛阳市瀍河回族区,销售,商业和服务业人员,3500.0,2021-03-01,不匹配,艺术教育学院,音乐教育-5年制,专科
,广东省梅州市五华县,签就业协议形式就业,广州市海珠区金影幼儿园,广东省广州市海珠区,广东省广州市海珠区,副班老师,教学人员,3500.0,2021-03-01,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市荔湾区,境内升学,广州城市理工学院,广东省广州市花都区,广东省广州市花都区,机械工程,其他人员,,2021-09-01,,信息学院,计算机应用技术（网络）,专科
,广东省肇庆市封开县,签就业协议形式就业,博罗县榕苑学生托管部,广东省惠州市博罗县,广东省惠州市博罗县,初中英语老师,教学人员,3500.0,2021-02-22,匹配,外语外贸学院,旅游英语,专科
,广东省湛江市廉江市,自主创业,艺行校园,广东省广州市,广东省广州市,,其他人员,2000.0,2021-03-13,不匹配,外语外贸学院,国际贸易实务,专科
,广东省湛江市吴川市,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,市场营销,其他人员,,2021-08-29,,信息学院,数字媒体应用技术,专科
,广东省广州市越秀区,待就业,,,,,,,,,外语外贸学院,商务日语,专科
,广东省肇庆市端州区,其他录用形式就业,肇庆市端州区双一文艺教育培训中心,广东省肇庆市端州区,广东省肇庆市端州区,肇庆市端州区双一文艺教育培训中心,文学艺术工作人员,3000.0,2021-03-01,匹配,音乐舞蹈学院,舞蹈表演,专科
,广东省湛江市雷州市,自主创业,珠海柏伊美容服务有限公司,广东省珠海市香洲区,广东省珠海市香洲区,,其他人员,3000.0,2021-06-01,不匹配,信息学院,计算机应用技术（网络）,专科
,广东省揭阳市揭西县,签就业协议形式就业,广州市裕洋国际贸易有限公司,广东省广州市,广东省广州市,阿里巴巴国际站运营助理,经济业务人员,4000.0,2021-02-10,匹配,外语外贸学院,国际贸易实务,专科
,广东省广州市白云区,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语教育,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省广州市越秀区,境内升学,广州科技职业技术大学,广东省广州市白云区,广东省广州市白云区,物流工程技术,其他人员,,2021-09-11,,音乐舞蹈学院,歌舞表演,专科
,广东省广州市白云区,境内升学,广州南方学院,广东省广州市从化区,广东省广州市从化区,艺术设计学,其他人员,,2021-09-01,,艺术设计学院,玉器设计与工艺,专科
,广东省茂名市化州市,境内升学,湛江科技学院,广东省湛江市,广东省湛江市,英语,其他人员,,2021-09-04,,基础教育学院,英语教育,专科
,广东省汕尾市陆丰市,其他录用形式就业,深圳市德华言美文化传播有限公司,广东省深圳市福田区,广东省深圳市福田区,行政,其他人员,4500.0,2021-05-11,一般匹配,学前教育学院,早期教育,专科
,广东省中山市,自主创业,中山市横栏镇沙心食店,广东省中山市,广东省中山市,,其他人员,3985.0,2021-07-15,一般匹配,公共管理学院,文秘,专科
,广东省汕头市潮阳区,签劳动合同形式就业,汕头市潮阳实验幼儿园,广东省广州市天河区,广东省广州市天河区,幼儿教师,教学人员,4000.0,2021-09-01,很匹配,学前教育学院,早期教育,专科
,广东省汕头市潮阳区,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,小学教育,其他人员,,2021-09-01,,学前教育学院,早期教育,专科
,广东省茂名市信宜市,签就业协议形式就业,广州市华微信息咨询有限公司,广东省广州市天河区,广东省广州市天河区,金融顾问,金融业务人员,3000.0,2021-03-18,一般匹配,外语外贸学院,电子商务,专科
,广东省广州市荔湾区,签就业协议形式就业,锆德教育资讯（深圳）有限公司广州分公司,广东省广州市天河区,广东省广州市天河区,留学申请,其他人员,3000.0,2020-12-14,比较匹配,外语外贸学院,应用英语,专科
,广东省汕头市潮阳区,签就业协议形式就业,汕头市东升新世界花园物业管理有限公司,广东省汕头市潮阳区,广东省汕头市潮阳区,办公室文员,商业和服务业人员,3500.0,2021-03-15,一般匹配,外语外贸学院,商务日语,专科
,广东省汕尾市城区,签劳动合同形式就业,汕尾市大树互联文化传媒有限公司,广东省汕尾市海丰县,广东省汕尾市海丰县,运营专员,其他人员,3000.0,2021-03-10,一般匹配,外语外贸学院,电子商务,专科
,广东省汕尾市陆丰市,签就业协议形式就业,广州伊珂贝尔商贸有限公司,广东省广州市番禺区,广东省广州市番禺区,业务员,其他人员,4500.0,2021-02-21,一般匹配,外语外贸学院,国际贸易实务,专科
,广东省茂名市电白区,签劳动合同形式就业,华婴教育咨询(广州)有限公司,广东省广州市番禺区,广东省广州市番禺区,副班老师,教学人员,3000.0,2021-04-13,很匹配,学前教育学院,早期教育,专科
,广东省清远市阳山县,其他录用形式就业,佛山市南海美易达植绒厂,广东省佛山市南海区,广东省佛山市南海区,储备干部,其他人员,3500.0,2021-03-04,一般匹配,外语外贸学院,应用韩语,专科
,广东省惠州市惠东县,自由职业,,广东省惠州市惠东县,广东省惠州市惠东县,辅导小学生,教学人员,3000.0,2021-08-20,一般匹配,公共管理学院,文秘,专科
,广东省东莞市,签就业协议形式就业,东莞市华盈新材料有限公司,广东省东莞市,广东省东莞市,业务助理,其他人员,5500.0,2021-04-24,不匹配,信息学院,计算机应用技术（网络）,专科
,广东省河源市和平县,其他录用形式就业,中和供应链管理(和平)有限公司,广东省河源市和平县,广东省河源市和平县,助理,商业和服务业人员,3000.0,2021-03-20,一般匹配,基础教育学院,语文教育,专科
,广东省汕头市,签就业协议形式就业,汕头市澄海区凤翔欣欣幼儿园,广东省汕头市澄海区,广东省汕头市澄海区,教师,教学人员,3500.0,2021-03-15,很匹配,艺术教育学院,音乐教育,专科
,广东省茂名市信宜市,其他录用形式就业,奈菲尔东方舞,广东省信宜市,广东省信宜市,舞蹈老师,教学人员,3500.0,2021-03-08,比较匹配,音乐舞蹈学院,音乐制作,专科
,广东省揭阳市揭西县,签劳动合同形式就业,广东惠宠宠物用品有限公司,广东省广州市番禺区,广东省广州市番禺区,摄影美工设计,其他人员,3800.0,2021-07-14,比较匹配,信息学院,数字媒体应用技术,专科
,广东省潮州市潮安区,签就业协议形式就业,中山市海猫跨境信息科技有限公司,广东省中山市,广东省中山市,销售助理,商业和服务业人员,3000.0,2021-03-15,比较匹配,外语外贸学院,电子商务,专科
,广东省揭阳市惠来县,签就业协议形式就业,惠来县东陇镇中心幼儿园,广东省揭阳市惠来县,广东省揭阳市惠来县,教师,其他人员,3000.0,2021-03-05,比较匹配,基础教育学院,英语教育-5年制,专科
,广东省广州市越秀区,签劳动合同形式就业,广州市金禧信息技术服务有限公司,广东省广州市天河区,广东省广州市天河区,桌面运维工程师,其他专业技术人员,4300.0,2021-03-09,匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,湖北省荆州市石首市,其他录用形式就业,广东康宝电器股份有限公司,广东省佛山市顺德区,广东省佛山市顺德区,售后客服,商业和服务业人员,3000.0,2021-02-20,一般匹配,信息学院,计算机应用技术（网络）-2年制,专科
,广东省惠州市惠东县,应征义务兵,惠东县征兵办,广东省惠州市惠东县,广东省惠州市惠东县,,军人,,2021-03-01,匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省肇庆市端州区,签就业协议形式就业,端州区绘兔美术信息咨询服务部,广东省肇庆市端州区,广东省肇庆市端州区,助教,教学人员,2000.0,2021-02-19,匹配,学前教育学院,学前教育-2年制,专科
,广东省汕尾市,签劳动合同形式就业,广州神州通保计算机技术有限公司,广东省广州市天河区,广东省广州市天河区,电话客服,其他人员,5000.0,2021-02-17,比较匹配,外语外贸学院,电子商务,专科
,广东省云浮市新兴县,签就业协议形式就业,广州方跑网络有限公司,广东省广州市番禺区,广东省广州市番禺区,运营部,其他人员,5000.0,2021-01-28,比较匹配,外语外贸学院,电子商务,专科
,广东省广州市从化区,签就业协议形式就业,广州欣兴科技有限公司,广东省广州市番禺区,广东省广州市番禺区,日语运营,其他人员,3800.0,2021-03-04,匹配,外语外贸学院,商务日语,专科
,广东省中山市,自由职业,,广东省中山市,广东省中山市,舞蹈教学,教学人员,3500.0,2021-08-01,一般匹配,公共管理学院,文秘,专科
,广东省河源市东源县,签劳动合同形式就业,佛山市南海区百变创造力文化传播有限公司,广东省佛山市南海区,广东省佛山市南海区,教师,教学人员,3350.0,2021-08-12,很匹配,信息学院,现代教育技术,专科
,广东省江门市开平市,,,,,,,,,,艺术设计学院,玉器设计与工艺,专科
,广东省湛江市廉江市,签就业协议形式就业,广州市天河区珠江新城海滨幼儿园,广东省广州市天河区,广东省广州市天河区,实习老师,教学人员,3300.0,2021-02-20,很匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市,其他录用形式就业,佛山市莫比乌斯文化传播有限公司,广东省佛山市南海区,广东省佛山市南海区,舞蹈教学,其他人员,8000.0,2021-03-01,不匹配,音乐舞蹈学院,表演艺术-5年制,专科
,广东省佛山市南海区,,,,,,,,,,基础教育学院,英语教育-5年制,专科
,广东省汕头市,其他录用形式就业,佛山市南海区桂城双馨琴行,广东省佛山市南海区,广东省佛山市南海区,广东省佛山市南海区桂城双馨琴行,文学艺术工作人员,2000.0,2021-03-01,不匹配,艺术教育学院,音乐教育-5年制,专科
,广东省肇庆市广宁县,签劳动合同形式就业,佛山华强商业管理有限公司,广东省佛山市禅城区,广东省佛山市禅城区,企划助理,商业和服务业人员,4200.0,2021-06-21,匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,广东省广州市荔湾区,其他录用形式就业,广州微温文艺创作服务有限公司,广东省广州市越秀区,广东省广州市越秀区,摄像师,文学艺术工作人员,2100.0,2021-03-01,匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,广东省韶关市乐昌市,签就业协议形式就业,东莞市寮步世纪腾飞幼儿园,广东省东莞市,广东省东莞市,配班老师,教学人员,2500.0,2021-03-05,很匹配,学前教育学院,学前教育-2年制,专科
,广东省揭阳市普宁市,签就业协议形式就业,韶关市浈江区博文幼儿园,广东省韶关市浈江区,广东省韶关市浈江区,带班老师,教学人员,2300.0,2021-03-01,匹配,学前教育学院,学前教育-2年制,专科
,广东省佛山市顺德区,签劳动合同形式就业,梁家大少文化传媒（佛山）有限公司,广东省佛山市顺德区,广东省佛山市顺德区,主播,其他人员,3500.0,2021-08-23,一般匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省梅州市丰顺县,签就业协议形式就业,广州市班西贸易有限公司,广东省广州市白云区,广东省广州市白云区,主播,其他人员,4000.0,2021-03-22,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省汕头市潮阳区,签劳动合同形式就业,深圳龙岗芽咪托育服务有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,副班老师,教学人员,4700.0,2021-08-06,不匹配,学前教育学院,早期教育,专科
,广东省惠州市惠东县,其他录用形式就业,广州市国尚皮革科技有限公司,广东省广州市花都区,广东省广州市花都区,文员,其他人员,3000.0,2021-03-03,不匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省茂名市化州市,签劳动合同形式就业,广州珠江城市管理服务集团股份有限公司越秀分公司,广东省广州市越秀区,广东省广州市越秀区,会务客服,商业和服务业人员,3500.0,2021-02-07,一般匹配,外语外贸学院,旅游英语,专科
,广东省揭阳市普宁市,签劳动合同形式就业,南昌市华菱笔业有限公司,广东省广州市越秀区,广东省广州市越秀区,外贸业务员,经济业务人员,3200.0,2020-12-07,很匹配,外语外贸学院,国际贸易实务,专科
,广东省揭阳市惠来县,签就业协议形式就业,中国电信股份有限公司惠来葵潭营销服务中心,广东省揭阳市惠来县,广东省揭阳市惠来县,营业员,办事人员和有关人员,2500.0,2021-02-22,比较匹配,公共管理学院,文秘,专科
,广东省珠海市香洲区,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,视觉传达设计,其他人员,,2021-09-01,,信息学院,数字媒体应用技术-2年制,专科
,广东省揭阳市普宁市,其他录用形式就业,普宁市云落镇下埔寮小学,广东省普宁市,广东省普宁市,教师,教学人员,2000.0,2021-03-01,一般匹配,学前教育学院,学前教育-5年制,专科
,广东省汕头市潮南区,签就业协议形式就业,深圳市太格王科技有限公司,广东省深圳市龙华区,广东省深圳市龙华区,外贸业务员,商业和服务业人员,4500.0,2020-12-16,比较匹配,外语外贸学院,国际贸易实务,专科
,广东省惠州市博罗县,境内升学,广东东软学院,广东省佛山市南海区,广东省佛山市南海区,视觉传达设计,其他人员,,2021-09-10,,艺术教育学院,美术教育,专科
,广东省河源市东源县,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,计算机科学与技术,其他人员,,2021-09-01,,信息学院,计算机应用技术（网络）,专科
,广东省江门市恩平市,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省湛江市廉江市,签就业协议形式就业,惠州市惠城区星河盛办公用品商行,广东省惠州市惠城区,广东省惠州市惠城区,行政助理,商业和服务业人员,3800.0,2020-11-15,匹配,公共管理学院,人力资源管理,专科
,广东省揭阳市揭西县,签就业协议形式就业,汕头市金平区保安服务有限公司,广东省汕头市金平区,广东省汕头市金平区,文员,办事人员和有关人员,3200.0,2021-01-25,一般匹配,学前教育学院,早期教育,专科
,广东省惠州市惠城区,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语教育,其他人员,,2021-08-31,,基础教育学院,英语教育,专科
,广东省清远市,签就业协议形式就业,深圳君阳投资科技有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,亚马逊运营,商业和服务业人员,6000.0,2020-12-16,很匹配,外语外贸学院,国际贸易实务,专科
,广东省肇庆市广宁县,境内升学,岭南师范学院,广东省湛江市赤坎区,广东省湛江市赤坎区,商务英语,其他人员,,2021-09-01,,外语外贸学院,应用英语,专科
,广东省清远市阳山县,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,英语,其他人员,,2021-09-04,,外语外贸学院,应用英语,专科
,广东省惠州市博罗县,其他录用形式就业,深圳市坪山区汪喵小筑宠物店,广东省深圳市坪山区,广东省深圳市坪山区,员工,其他人员,4500.0,2021-01-18,不匹配,音乐舞蹈学院,音乐制作,专科
,广东省湛江市麻章区,签劳动合同形式就业,国药控股和记黄埔医药（上海）有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,医药信息专员,其他专业技术人员,4000.0,2021-07-10,不匹配,艺术设计学院,玉器设计与工艺,专科
,广东省云浮市罗定市,签就业协议形式就业,罗定市苹塘镇泷江绿茵幼儿园,广东省罗定市,广东省罗定市,教师,教学人员,2000.0,2021-04-01,匹配,学前教育学院,早期教育,专科
,广东省云浮市郁南县,境内升学,广州应用科技学院,广东省广州市增城区,广东省广州市增城区,美术学,其他人员,,2021-09-01,,艺术教育学院,美术教育,专科
,广东省揭阳市普宁市,其他录用形式就业,普宁市科盈新能源汽车有限公司,广东省普宁市,广东省普宁市,行政助理,办事人员和有关人员,3200.0,2021-03-01,不匹配,基础教育学院,英语教育-5年制,专科
,广东省江门市开平市,签就业协议形式就业,广州市小马广源文化发展有限公司,广东省广州市白云区,广东省广州市白云区,早教指导师,教学人员,3300.0,2021-02-24,很匹配,学前教育学院,早期教育,专科
,广东省湛江市遂溪县,其他录用形式就业,鼎湖区雍雅酒店,广东省肇庆市鼎湖区,广东省肇庆市鼎湖区,销售,其他专业技术人员,2000.0,2021-03-18,不匹配,艺术教育学院,音乐教育,专科
,广东省汕头市澄海区,其他录用形式就业,汕头市澄海区健峰玩具厂,广东省汕头市澄海区,广东省汕头市澄海区,运营,其他人员,3000.0,2021-06-20,不匹配,音乐舞蹈学院,音乐制作,专科
,广东省清远市,签就业协议形式就业,广州市天河区科韵骏泽幼儿园有限公司,广东省广州市天河区,广东省广州市天河区,配班,教学人员,3000.0,2021-01-17,匹配,学前教育学院,学前教育-2年制,专科
,广东省河源市紫金县,签就业协议形式就业,华南师范大学附属幼儿园,广东省广州市天河区,广东省广州市天河区,教学岗位,教学人员,5200.0,2020-12-02,匹配,学前教育学院,学前教育-2年制,专科
,广东省汕尾市城区,自主创业,深圳市继丰通装饰材料有限公司,广东省深圳市龙岗区,广东省深圳市龙岗区,,其他人员,10000.0,2017-07-22,不匹配,艺术教育学院,音乐教育-5年制,专科
,广东省佛山市,签就业协议形式就业,广州吾能学网络科技有限公司,广东省广州市海珠区,广东省广州市海珠区,美术教师,教学人员,2800.0,2021-08-12,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市黄埔区,签就业协议形式就业,广州维蒙教育科技有限公司,广东省广州市天河区,广东省广州市天河区,课程顾问,其他专业技术人员,4500.0,2021-01-19,匹配,艺术教育学院,音乐教育-5年制,专科
,广东省江门市台山市,其他录用形式就业,广东省鑫鼎辉贸易有限公司,广东省台山市,广东省台山市,业务助理,其他人员,3500.0,2021-03-05,不匹配,音乐舞蹈学院,表演艺术,专科
,广东省梅州市梅县区,自主创业,广州虹彩艺术教育咨询有限公司,广东省广州市天河区,广东省广州市天河区,,其他人员,5000.0,2020-07-06,很匹配,艺术教育学院,美术教育,专科
,广东省肇庆市封开县,签就业协议形式就业,广州雅利甫光电科技有限公司,广东省广州市越秀区,广东省广州市越秀区,外贸业务员,其他人员,3500.0,2021-03-08,很匹配,外语外贸学院,电子商务,专科
,广东省广州市白云区,其他录用形式就业,广州品诚工程咨询有限责任公司,广东省广州市越秀区,广东省广州市越秀区,设计部,其他人员,2000.0,2021-03-18,不匹配,艺术教育学院,美术教育,专科
,广东省梅州市丰顺县,签劳动合同形式就业,深圳市宝安区福永万科金色领域小天使琴行,广东省深圳市宝安区,广东省深圳市宝安区,钢琴教师,教学人员,6000.0,2021-09-17,匹配,艺术教育学院,音乐教育-5年制,专科
,河南省周口市商水县,签就业协议形式就业,小马快跑（深圳）教育咨询有限公司,广东省深圳市宝安区,广东省深圳市宝安区,全日班英文主教,教学人员,5500.0,2021-03-15,匹配,基础教育学院,英语教育-5年制,专科
,广东省肇庆市端州区,自由职业,,广东省广州市天河区,广东省广州市天河区,音乐舞蹈教师,教学人员,5000.0,2021-08-05,一般匹配,音乐舞蹈学院,舞蹈表演,专科
,广东省茂名市电白区,签劳动合同形式就业,广州铭刻贸易有限公司,广东省潮州市饶平县,广东省潮州市饶平县,电商设计师,其他专业技术人员,6000.0,2021-03-06,很匹配,艺术设计学院,艺术设计-2年制,专科
,广东省广州市白云区,签就业协议形式就业,南部战区空军直属机关幼儿园,广东省广州市越秀区,广东省广州市越秀区,配班老师,教学人员,3500.0,2021-05-06,匹配,学前教育学院,学前教育-2年制,专科
,广东省江门市恩平市,其他录用形式就业,牧山艺术教育咨询（广州）有限公司,广东省广州市白云区,广东省广州市白云区,舞蹈老师,教学人员,3500.0,2021-02-19,匹配,艺术教育学院,舞蹈教育-5年制,专科
,湖南省怀化市溆浦县,应征义务兵,湖南省溆浦县祖师殿武装部,湖南省溆浦县,湖南省溆浦县,,军人,,2021-09-13,匹配,信息学院,计算机应用技术（网络）-2年制,专科
,广东省广州市荔湾区,签劳动合同形式就业,广东全优加教育发展有限公司,广东省广州市越秀区,广东省广州市越秀区,指导师,教学人员,3200.0,2021-05-26,一般匹配,学前教育学院,学前教育-2年制,专科
,广东省汕尾市,签就业协议形式就业,重庆君安知识产权代理有限公司,重庆市南岸区,重庆市南岸区,行政助理,法律专业人员,3500.0,2021-03-03,一般匹配,学前教育学院,学前教育-2年制,专科
,广东省梅州市兴宁市,签劳动合同形式就业,广州滢之丽商贸有限公司,广东省广州市海珠区,广东省广州市海珠区,平面设计,其他人员,2100.0,2021-06-22,匹配,艺术设计学院,艺术设计-2年制,专科
,广东省湛江市雷州市,签劳动合同形式就业,英德市万豪儒林幼儿园,广东省英德市,广东省英德市,副班老师,教学人员,2480.0,2021-02-18,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省茂名市化州市,签劳动合同形式就业,广州正在健身健康管理有限公司,广东省广州市天河区,广东省广州市天河区,平面设计师,文学艺术工作人员,5500.0,2021-10-22,很匹配,艺术设计学院,艺术设计-2年制,专科
,广东省深圳市南山区,境内升学,岭南师范学院,广东省湛江市赤坎区,广东省湛江市赤坎区,学前教育,其他人员,,2021-08-30,,学前教育学院,学前教育-2年制,专科
,广东省茂名市化州市,签就业协议形式就业,华南师范大学附属幼儿园,广东省广州市天河区,广东省广州市天河区,教学岗位,教学人员,5200.0,2020-12-02,匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市白云区,其他录用形式就业,广州市天河区五山星灵艺术培训中心,广东省广州市天河区,广东省广州市天河区,古筝老师,教学人员,480.0,2021-03-01,匹配,音乐舞蹈学院,歌舞表演,专科
,广东省湛江市廉江市,签劳动合同形式就业,广州市粤福置业发展有限公司,广东省广州市白云区,广东省广州市白云区,行政助理（宣传部）,商业和服务业人员,4000.0,2021-04-13,一般匹配,艺术设计学院,艺术设计,专科
,广东省中山市,签就业协议形式就业,广州凯智科技有限公司,广东省广州市天河区,广东省广州市天河区,人事助理,办事人员和有关人员,3500.0,2020-11-04,匹配,公共管理学院,人力资源管理,专科
,广东省清远市阳山县,签劳动合同形式就业,佛山市古瓷瓷业有限公司,广东省佛山市禅城区,广东省佛山市禅城区,外贸业务员,商业和服务业人员,4500.0,2021-05-27,比较匹配,基础教育学院,英语教育,专科
,广东省茂名市信宜市,自主创业,上海九命猫文化传媒工作室,上海市奉贤区,上海市奉贤区,,商业和服务业人员,6000.0,2021-12-30,一般匹配,外语外贸学院,应用英语,专科
,广东省茂名市高州市,签就业协议形式就业,茂名市视觉眼镜有限公司,广东省茂名市茂南区,广东省茂名市茂南区,售后客服,其他人员,3000.0,2021-03-15,一般匹配,外语外贸学院,电子商务,专科
,广东省佛山市顺德区,其他录用形式就业,佛山盈元新能源技术有限公司,广东省佛山市禅城区,广东省佛山市禅城区,c4d游戏视频设计,其他人员,3400.0,2020-11-16,匹配,信息学院,数字展示技术,专科
,广东省汕头市,境内升学,湛江科技学院,广东省湛江市麻章区,广东省湛江市麻章区,英语,其他人员,,2021-09-04,,外语外贸学院,应用英语,专科
,广东省佛山市南海区,其他录用形式就业,佛山盈衍新能源科技有限公司,广东省佛山市禅城区,广东省佛山市禅城区,美工,其他专业技术人员,3000.0,2020-11-21,比较匹配,信息学院,数字展示技术,专科
,广东省梅州市五华县,境内升学,广州华立学院,广东省广州市增城区,广东省广州市增城区,工商管理,其他人员,,2022-08-30,一般匹配,外语外贸学院,国际贸易实务,专科
,广东省江门市鹤山市,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省茂名市茂南区,签劳动合同形式就业,上海珍岛智能技术集团有限公司广州分公司,广东省广州市,广东省广州市,销售专员,商业和服务业人员,5000.0,2021-07-22,一般匹配,外语外贸学院,商务日语,专科
,广东省肇庆市高要区,签劳动合同形式就业,广州赛美药业有限公司,广东省广州市白云区,广东省广州市白云区,人事助理,其他人员,2200.0,2020-12-19,匹配,公共管理学院,人力资源管理,专科
,广东省茂名市电白区,境内升学,广州工商学院,广东省广州市花都区,广东省广州市花都区,舞蹈编导,其他人员,,2021-08-28,,音乐舞蹈学院,歌舞表演,专科
,广东省湛江市吴川市,境内升学,东莞城市学院,广东省东莞市,广东省东莞市,英语,其他人员,,2021-08-29,,公共管理学院,文秘,专科
,广东省广州市,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,电子商务,其他人员,,2021-09-01,,外语外贸学院,电子商务,专科
,广东省江门市台山市,签劳动合同形式就业,广州市惠一云容文化教育咨询有限公司,广东省广州市白云区,广东省广州市白云区,图片视频剪辑,教学人员,3000.0,2021-08-16,一般匹配,艺术设计学院,玉器设计与工艺,专科
,广东省韶关市翁源县,签就业协议形式就业,广州弘乐绘教育咨询有限公司,广东省广州市天河区,广东省广州市天河区,老师,教学人员,2200.0,2021-03-03,一般匹配,外语外贸学院,应用英语,专科
,广东省揭阳市榕城区,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,环境设计,其他人员,,2021-09-01,,艺术设计学院,产品艺术设计,专科
,广东省河源市连平县,签就业协议形式就业,河源泽盛服装有限公司,广东省河源市连平县,广东省河源市连平县,跟单,其他人员,4000.0,2021-03-01,一般匹配,外语外贸学院,国际贸易实务,专科
,广东省揭阳市揭东区,签劳动合同形式就业,东莞市云翼电子商务有限公司,广东省东莞市,广东省东莞市,运营店长,商业和服务业人员,7000.0,2021-03-13,一般匹配,信息学院,计算机应用技术（云计算运维）,专科
,广东省汕尾市海丰县,签就业协议形式就业,广州依琪信息科技有限公司,广东省广州市白云区,广东省广州市白云区,翻译,商业和服务业人员,3500.0,2021-03-01,比较匹配,外语外贸学院,商务英语,专科
